Basal,Her2,LumA,LumB
CDC20,TTK,COL10A1,NEK2
TTK,NEK2,FN1,NDC80
AURKB,RRM2,NEK2,TTK
NEK2,CDC20,TTK,UBE2C
NDC80,E2F1,COL1A1,BUB1
UBE2C,AURKB,BIRC5,E2F1
CCNA2,CCNA2,COL1A2,BIRC5
BUB1,BIRC5,TK1,CCNA2
BIRC5,NDC80,COL11A1,RRM2
E2F1,DLGAP5,MMP13,CDC20
CDC45,UBE2C,BGN,PBK
MELK,BUB1,E2F1,AURKB
NUF2,CDC45,FOXA1,CDC45
TK1,TK1,PBK,NUF2
DLGAP5,NCAPG,NDC80,TK1
PBK,NUSAP1,BUB1,DLGAP5
TPX2,PBK,KISS1R,NUSAP1
CCNB2,MELK,GATA3,CDC25C
MYBL2,CDK1,REST,TPX2
NCAPG,NUF2,UBE2C,NCAPG
RRM2,TPX2,RRM2,CDC6
CDCA5,CDC6,CDC20,MELK
CDK1,MYBL2,VCAN,CDK1
NUSAP1,RAD51,CXCL10,DTL
CDCA8,ERCC6L,GNAI2,TOP2A
MCM10,FN1,CCL11,CDCA5
CDC6,KIF4A,BMPR1B,FN1
CDKN2A,AURKA,CCR8,KIF4A
RAD51,CDC25C,GNG13,ERCC6L
CDCA2,ERBB2,KISS1,MYBL2
CDT1,CCNB2,AURKB,CCNB2
SUZ12,CCR8,RET,BRCA1
CDC25C,CDCA5,COL5A1,CEP55
ANLN,ANLN,MMP9,UBE2T
CCNE1,EXO1,CCNA2,RAD51
ERCC6L,FGFR4,NUF2,RET
EXO1,CEP55,CDC25C,KIF20A
KIF20A,CCL11,TPX2,MCM10
CEP55,BLM,PITX1,AURKA
TUBB3,CHEK1,RAD21,EXO1
KIF4A,CXCL9,KNG1,BLM
TRIP13,KIF20A,RUNX2,MKI67
UBE2T,CLSPN,APP,MMP13
CDC25A,COL10A1,DTL,CHEK1
PTTG1,CXCL10,STAT1,CCNB1
NMU,RET,CTCF,CLSPN
DTL,FOXA1,TOP2A,CENPE
KIF2C,MCM10,TUBB3,SUZ12
CXCL10,PITX1,NUSAP1,COL10A1
CHEK1,STAT1,F2,GATA3
BLM,TUBB3,COL3A1,ANLN
CCR8,DTL,DLGAP5,CCR8
MMP13,MKI67,GRM4,RAD21
MAD2L1,PRC1,CCR5,TRIP13
FN1,CXCL11,SPI1,CDCA8
AURKA,SUZ12,KIF4A,KIF23
PRAME,COL1A2,YWHAZ,KISS1R
